2021-12-20 16:08:37:233 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure(DruidDataSourceAutoConfigure.java 56) -Init DruidDataSource
2021-12-20 16:08:38:312 [main] INFO  com.alibaba.druid.pool.DruidDataSource(DruidDataSource.java 998) -{dataSource-1} inited
2021-12-20 16:08:49:024 [main] INFO  o.a.r.s.support.DefaultRocketMQListenerContainer(DefaultRocketMQListenerContainer.java 290) -running container: DefaultRocketMQListenerContainer{consumerGroup='admin', nameServer='192.168.56.102:9876', topic='test_producer', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2021-12-20 16:08:49:024 [main] INFO  o.a.r.s.a.ListenerContainerConfiguration(ListenerContainerConfiguration.java 127) -Register the listener to container, listenerBeanName:rocketmqListener, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2021-12-20 16:08:49:467 [main] INFO  com.zookao.admin.RocketmqTest(StartupInfoLogger.java 61) -Started RocketmqTest in 17.748 seconds (JVM running for 19.874)
2021-12-20 16:08:50:617 [NettyClientSelector_1] INFO  RocketmqRemoting(Slf4jLoggerFactory.java 95) -closeChannel: close the connection to remote address[192.168.56.102:10911] result: true
2021-12-20 16:08:50:619 [SpringApplicationShutdownHook] INFO  o.a.r.s.support.DefaultRocketMQListenerContainer(DefaultRocketMQListenerContainer.java 263) -container destroyed, DefaultRocketMQListenerContainer{consumerGroup='admin', nameServer='192.168.56.102:9876', topic='test_producer', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2021-12-20 16:08:50:621 [NettyClientSelector_1] INFO  RocketmqRemoting(Slf4jLoggerFactory.java 95) -closeChannel: close the connection to remote address[192.168.56.102:9876] result: true
2021-12-20 16:08:50:637 [NettyClientSelector_1] INFO  RocketmqRemoting(Slf4jLoggerFactory.java 95) -closeChannel: close the connection to remote address[192.168.56.102:10911] result: true
2021-12-20 16:08:50:638 [NettyClientSelector_1] INFO  RocketmqRemoting(Slf4jLoggerFactory.java 95) -closeChannel: close the connection to remote address[192.168.56.102:9876] result: true
2021-12-20 16:08:50:647 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource(DruidDataSource.java 2071) -{dataSource-1} closing ...
2021-12-20 16:08:50:664 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource(DruidDataSource.java 2144) -{dataSource-1} closed
2021-12-20 16:10:07:560 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper(AbstractTestContextBootstrapper.java 305) -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zookao.admin.RocketmqTest], using SpringBootContextLoader
2021-12-20 16:10:07:572 [main] INFO  o.s.test.context.support.AbstractContextLoader(AbstractContextLoader.java 264) -Could not detect default resource locations for test class [com.zookao.admin.RocketmqTest]: no resource found for suffixes {-context.xml, Context.groovy}.
